"
Nom du Dossier/ Numero de la fiche",LatLong,MRC,Eau Souterraine,Sol,etat ,Date de creation ou date de mise a jour
1455 rue Bercy - Cour Bercy (lot 3 362 043),"45.5333145408
? -73.5453695603",Ville de Montreal,Hydrocarbures petroliers C10 a C50,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2016
Q : Plage C-D",4/16/20
"1489 et 1495 rue Stephens ,Verdun","45.4461111111
? -73.5875",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2002
Q : <= A",11/12/02
"1505, rue Saint-Jean-Baptiste","45.642554
? -73.505253",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2009
Q : Plage B-C",3/31/11
"1600, rue Wilfrid Boileau, maison mobile #7","45.4791666667
? -73.8705555556",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2002
Q : Plage A-B",3/8/02
"1640, St-Andre","45.5175083333
? -73.5608333333",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2004
Q : <= B",11/11/04
16e Avenue entre les rues Legendre et de Louvain,"45.5750222222
? -73.6264777778",Ville de Montreal,,"Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b+j+k)fluoranthene, Benzo(g,h,i)perylene, Chrysene, Dibenzo(a,l)pyrene, Indeno(1,2,3-cd)pyrene, Phenanthrene",R : Non terminee,1/22/10
"170 a 220, rue Rioux, a Montreal","45.4912314636
? -73.560210303",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,6/7/19
170 Georges V,"45.4368472222
? -73.6632361111",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*","R : Terminee en 2021
Q : <= B",4/14/22
1712-1810 Rue Basin,"45.4870656973
? -73.5653449207",Ville de Montreal,"Cyanure total (CN-), Metaux*, Sulfures (H2S)","Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,3/11/22
172284 Canada inc.,"45.4825822635
? -73.5637933112",Ville de Montreal,,"Cadmium (Cd), Cuivre (Cu), Hydrocarbures petroliers C10 a C50, Plomb (Pb), Zinc (Zn)",R : Non terminee,3/3/05
1800-1812 rue Notre-Dame Ouest,"45.4881520111
? -73.5683828021",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,12/17/18
"1905 - 1917, rue Plessis","45.5234137996
? -73.5599498228",Ville de Montreal,,"Baryum (Ba), Benzo(a)anthracene, Benzo(b+j+k)fluoranthene, Chrysene, Plomb (Pb)",R : Non terminee,4/18/18
1950 avenue Woodland Montreal,"45.4535611111
? -73.5915444444",Ville de Montreal,,Hydrocarbures aromatiques monocycliques * (pot),"R : Terminee en 2006
Q : <= B",8/26/15
"1990, rue William, Montreal Lots 1 573 209 et 2 296 177","45.4856630195
? -73.568006663",Ville de Montreal,"Manganese (Mn), Naphtalene","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,11/29/22
"1999, rue William (1022717 Canada inc)","45.4860056052
? -73.5687661956",Ville de Montreal,Hydrocarbures aromatiques polycycliques*,"Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,6/12/19
"200, boulevard Marcel-Laurin - lot 2 409 431","45.5042747525
? -73.6772745336",Ville de Montreal,"Aluminium (Al), Chlorures (Cl-), Nitrite (N-NO2-), Selenium (Se), Sulfures (H2S), Tetrachloroethene","Chlorure de vinyle (chloroethene) (pot), Cuivre (Cu), etain (Sn), Hydrocarbures petroliers C10 a C50, Methyl naphtalenes (chacun), Molybdene (Mo), Plomb (Pb), Trichloroethylene (pot), Xylenes (o,m,p) (pot), Zinc (Zn)",R : Non terminee,1/20/11
2034 rue du Havre Montreal,"45.5338666667
? -73.5531333333",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Plomb (Pb)","R : Terminee en 2008
Q : Plage A-B",1/20/09
"2101-2105, rue evrette, Montreal","45.55153
? -73.60748",Ville de Montreal,,Hydrocarbures chlores*,R : Non terminee,10/28/21
"2125, rue Ward - VELAN INC.","45.4987789009
? -73.6786355433",Ville de Montreal,,"Dichloro-1,2 ethene (cis et trans) (pot), Hydrocarbures petroliers C10 a C50, Naphtalene (pot), Nickel (Ni), Plomb (Pb)",R : Non terminee,6/27/17
"2224, rue Marie-Anne","45.5356253275
? -73.5683346381",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Methyl naphtalenes (chacun), Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2004
Q : Plage A-B",9/23/20
"2232-2236, rue Pitt, Montreal","45.4686111111
? -73.5808333333",Ville de Montreal,"Cyanure total (CN-), Hydrocarbures aromatiques polycycliques*","Arsenic (As), Baryum (Ba), Hydrocarbures petroliers C10 a C50, Methyl naphtalenes (chacun), Naphtalene (pot), Plomb (Pb)",R : Non terminee,1/5/22
"2242, Saint-Antoine Ouest, Montreal (residence)","45.4882166667
? -73.5768277778",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,4/10/12
"2264-2266, rue Wilson","45.4693393601
? -73.614732287",Ville de Montreal,Hydrocarbures petroliers C10 a C50,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2018
Q : <= B",2/28/19
2300 rue sherbrooke est,"45.5336381051
? -73.5616905044",Ville de Montreal,Hydrocarbures aromatiques polycycliques*,"Benzo(a)anthracene, Benzo(b+j+k)fluoranthene, Benzo(c)phenanthrene, Dibenzo(a,i)pyrene, Hydrocarbures petroliers C10 a C50",R : Non terminee,9/30/20
"2306, 2308-2310, 2314-2316, rue Sherbrooke E","45.5339128807
? -73.5616315306",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,9/30/20
2309-2319 rue Des Ormeaux,"45.6014666667
? -73.5190083333",Ville de Montreal,,Hydrocarbures chlores*,R : Non terminee,6/8/21
240 a 248 rue Rioux et 1314 a 1320 rue Ottawa a Montreal,"45.4912314636
? -73.560210303",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,5/22/18
240 Georges V,"45.4368472222
? -73.6632361111",Ville de Montreal,,Metaux*,R : Non terminee,3/23/22
"2430, Marcel Laurin","45.5204311869
? -73.7063720362",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,1/31/17
"2470, rue Cremazie Est","45.5577748954
? -73.6127424265",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,10/1/19
"2480-2482-2484, rue Marie-Anne","45.5377913545
? -73.5662834003",Ville de Montreal,,"Arsenic (As), Cuivre (Cu), etain (Sn), Plomb (Pb), Selenium (Se)",R : Non terminee,10/11/18
"2485, rue Belanger","45.5520071628
? -73.5989573571",Ville de Montreal,"Hydrocarbures aromatiques monocycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,3/31/23
2495 rue de Cadillac (lot 2 281 632),"45.573266
? -73.535381",Ville de Montreal,"Baryum (Ba), Hydrocarbures petroliers C10 a C50","Hydrocarbures petroliers C10 a C50, Xylenes (o,m,p) (pot)",R : Non terminee,10/30/20
250-254 rue chabanel ouest,"45.5404357697
? -73.6532320035",Ville de Montreal,Hydrocarbures chlores*,Hydrocarbures chlores*,R : Non terminee,6/8/21
"2530, rue Jean-Talon Est","45.5539436549
? -73.6014122826",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,6/6/19
"2555-2575, 32e Avenue OU 10050 Cote-de-Liesse Lachine","45.466329
? -73.714519",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2003
Q : Plage B-C",11/7/06
2699222 Canada inc,"45.5332180151
? -73.6802206016",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,8/17/09
"2702-2719, rue Grand-Trunk","45.4769692368
? -73.5695591897",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,10/23/17
2747-8676 Quebec inc.,"45.5884722222
? -73.6473611111",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2020
Q : Non precisee",9/16/20
2859-8241 Quebec inc.,"45.6036861111
? -73.6178888889",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*",R : Non terminee,12/4/19
2870258 Canada inc.(usine #1),"45.6211991811
? -73.5684769872",Ville de Montreal,,Methyl naphtalenes (chacun),"R : Terminee en 2008
Q : <= C",3/20/09
2910896 Canada inc.,"45.5099694444
? -73.6934027778",Ville de Montreal,,"Chlorure de vinyle (chloroethene) (pot), Dibenzo(a,h)anthracene, Hydrocarbures petroliers C10 a C50, Manganese (Mn), Methyl naphtalenes (chacun), Trichloroethylene (pot)","R : Terminee en 2012
Q : <= B",1/21/13
"2929, rue Victoria","45.435875
? -73.6888361111",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,10/10/19
2951-4114 Quebec inc.,"45.62172668
? -73.5867255072",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1996
Q : <= B",10/21/14
29611852 Quebec inc.,"45.490917092
? -73.5804102269",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,8/14/00
2964-3277 Quebec inc.,"45.4821877723
? -73.5690307991",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*, Nitro-2 phenol, Nitro-4 phenol","R : Terminee en 2013
Q : <= B",1/16/14
2968-3885 Quebec inc. (Le Biftheque),"45.4860692982
? -73.6948329852",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,9/4/02
2969-3611 Quebec inc.,"45.5008967466
? -73.6336293385",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Produits petroliers*","R : Terminee en 2001
Q : Plage A-B",1/30/02
2e restauration au niveau residentiel,"45.5745293956
? -73.65577778",Ville de Montreal,,"Benzene (pot), Hydrocarbures petroliers C10 a C50, Methyl naphtalenes (chacun)","R : Terminee en 2002
Q : > B (Total)",7/11/03
"3032, boul. LaSalle",,Ville de Montreal,,"Arsenic (As), Cuivre (Cu), Hydrocarbures aromatiques polycycliques*, Zinc (Zn)","R : Terminee en 2010
Q : <= B",11/26/18
3068307 Canada inc.,"45.5127344126
? -73.5666302937",Ville de Montreal,,"etain (Sn), Hydrocarbures aromatiques polycycliques*",R : Non terminee,2/24/12
3087-2873 Quebec inc.,"45.438368553
? -73.6946687548",Ville de Montreal,,Huiles et graisses totales*,R : Non terminee,2/22/17
3159531 Canada inc.,"45.5446138889
? -73.6561777778",Ville de Montreal,Phosphore total (P-PO4-3),Hydrocarbures petroliers C10 a C50,"R : Terminee en 2016
Q : <= C",5/4/17
3163 Sherbrooke Est,"45.5435166667
? -73.5576305556",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2009
Q : Plage A-B",1/20/10
320 Georges V,"45.4368472222
? -73.6632361111",Ville de Montreal,,Metaux*,R : Non terminee,3/23/22
3218465 Canada inc.,"45.5017062603
? -73.5595409571",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1996
Q : Non precisee",5/15/06
3261191 Canada inc.,"45.5396767038
? -73.5621887288",Ville de Montreal,,"Acenaphtene, Anthracene, Arsenic (As), Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b+j+k)fluoranthene, Benzo(c)phenanthrene, Benzo(g,h,i)perylene, Cadmium (Cd), Chrysene, Cuivre (Cu), Dibenzo(a,h)anthracene, Dibenzo(a,h)pyrene, Dibenzo(a,l)pyrene, etain (Sn), Fluorene, Hydrocarbures petroliers C10 a C50, Indeno(1,2,3-cd)pyrene, Manganese (Mn), Methyl naphtalenes (chacun), Naphtalene (pot), Phenanthrene, Plomb (Pb), Selenium (Se), Zinc (Zn)",R : Non terminee,11/13/15
"331-333, chemin du Canal Arrondissement de Lachine","45.4292903723
? -73.6693686656",Ville de Montreal,,"Arsenic (As), Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b+j+k)fluoranthene, Cadmium (Cd), Indeno(1,2,3-cd)pyrene, Plomb (Pb), Zinc (Zn)",R : Non terminee,2/1/17
"3500 - 3512 rue Saint-Jacques Ouest, a Montreal","45.4820370051
? -73.5817685913",Ville de Montreal,,,R : Non terminee,4/5/17
3633012 Canada inc.,"45.5158084624
? -73.6244874234",Ville de Montreal,,Hydrocarbures aromatiques polycycliques*,"R : Terminee en 2001
Q : Plage B-C",8/7/01
"365, rue Ontario Est","45.5156647594
? -73.5656811967",Ville de Montreal,"Hydrocarbures aromatiques polycycliques*, Zinc (Zn)","Benzene (pot), Hydrocarbures aromatiques polycycliques*, Xylenes (o,m,p) (pot)","R : Terminee en 2016
Q : Non precisee",6/30/20
3728498 Canada inc.,"45.5714616132
? -73.5315612873",Ville de Montreal,,"Hydrocarbures petroliers C10 a C50, Methyl naphtalenes (chacun)","R : Terminee en 2010
Q : <= B",6/6/12
3799727 Canada inc.,"45.5105277778
? -73.6690805556",Ville de Montreal,Cuivre (Cu),"Metaux*, Soufre total (S)","R : Terminee en 2007
Q : Plage B-C",10/9/15
3820360 Canada inc.,"45.4417445816
? -73.6725693271",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2014
Q : <= B",3/13/15
3841-3847 Saint-Hubert,"45.521656
? -73.571735",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Plomb (Pb), Zinc (Zn)",R : Non terminee,9/23/09
3856941 Canada inc.,"45.4852700012
? -73.5686275715",Ville de Montreal,,"Arsenic (As), Chrome total (Cr), Cuivre (Cu), Hydrocarbures aromatiques polycycliques*, Manganese (Mn), Selenium (Se), Soufre total (S)","R : Terminee en 2010
Q : <= C",5/1/15
"3940, rue Martial a Montreal-Nord","45.5908333333
? -73.6405555556",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2000
Q : > B (Total)",9/29/04
"400, rue Norman, Montreal","45.4477519201
? -73.6627099106",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2014
Q : <= C",3/20/14
"4040, La Fontaine","45.549129
? -73.539362",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*","R : Terminee en 2009
Q : <= B",10/20/10
4110-4120 rue St-Ambroise,"45.4736111111
? -73.5816666667",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2003
Q : <= B",5/18/04
"4145-4245, Henri-Bourassa Ouest","45.5259433167
? -73.7001056663",Ville de Montreal,,Biphenyles polychlores (BPC),R : Non terminee,9/7/18
4183096 Canada inc.,"45.4461892533
? -73.6638288692",Ville de Montreal,,"Cuivre (Cu), Zinc (Zn)","R : Terminee en 2018
Q : > RESC",5/7/20
4301064 Canada inc. (Groupe Vespo et anciennement usine Corbec),"45.439977778
? -73.651441667",Ville de Montreal,"Azote ammoniacal (NH4+), Chlorures (Cl-), Zinc (Zn)",Metaux*,"R : Terminee en 2011
Q : <= C",5/18/16
"4870, rue de Charleroi","45.597249
? -73.629757",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,5/15/20
"4900 (anciennement 5081 & 5085), rue Gilmore, Montreal","45.4663888889
? -73.5872222222",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Plomb (Pb)","R : Non necessaire
Q : Plage B-C",4/19/16
"4951, boul. Saint-Jean, Montreal","45.4918
? -73.8514",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2014
Q : Plage B-C",8/3/15
"50, avenue Beloeil","45.5127861111
? -73.6098888889",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,12/9/20
"5190, boulevard LaSalle - edifice Guy-Gagnon","45.4535575189
? -73.5650672487",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,12/15/15
"5445, rue Beaubien Est","45.576119482
? -73.5683265745",Ville de Montreal,"Benzene, ethylbenzene, Toluene, Xylenes (o,m,p)","Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Methyl naphtalenes (chacun), Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2009
Q : Plage A-B",7/19/11
"5470, avenue Belmore - Conocophillips","45.4650027016
? -73.6534083096",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2015
Q : <= B",8/18/15
"5475-5477, avenue Staint-Ignatius, Montreal","45.4647762174
? -73.6535442093",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2015
Q : <= B",8/18/15
"5500-5566 rue Saint-Patrick et 5600-5606, boulevard Monk","45.4625334199
? -73.5971466899",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,10/26/20
5570-5578 boul. Pie-IX a Monteal,"45.5594666667
? -73.5707222222",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2010
Q : > RESC",11/4/11
"5595, rue de Lanaudiere","45.5371812258
? -73.5907070179",Ville de Montreal,"Hydrocarbures aromatiques polycycliques*, Metaux*, Nitrate (N-NO3-)","Benzene (pot), Benzo(a)anthracene, Benzo(b+j+k)fluoranthene, etain (Sn), Hydrocarbures petroliers C10 a C50, Naphtalene (pot), Plomb (Pb)","R : Terminee en 2022
Q : > B (Total)",2/17/23
"5670-5680, rue Fullum Lots 3 617 373 et 3 617 374 Montreal","45.5432637142
? -73.5834562147",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,3/1/23
5692 Jean-Talon Est,"45.5836111111
? -73.5805555556",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2002
Q : Non precisee",6/21/02
"5790, avenue Monkland, Montreal","45.4733807197
? -73.624560247",Ville de Montreal,,"ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Xylenes (o,m,p) (pot)","R : Terminee en 2011
Q : Plage A-B",1/11/12
"58e Avenue entre les rues de Clichy et boulevard Gouin, arr. PDP et PAT","45.6595280125
? -73.5713480503",Ville de Montreal,,"Benzene (pot), Benzo(b+j+k)fluoranthene, ethylbenzene (pot), Manganese (Mn), Methyl naphtalenes (chacun), Xylenes (o,m,p) (pot)",R : Non terminee,4/8/09
"5925, avenue Monkland (lot renove 2 604 472)","45.4722138889
? -73.6263527778",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,3/31/21
"5959, boulevard de la Cote-Vertu - Air Transat A. T. inc.","45.4790779131
? -73.7284176994",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2014
Q : > C",2/16/15
"6150, RUE Rina-lasnier, Arrondissement Saint-Leonard","45.5836111111
? -73.5658333333",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2002
Q : Plage B-C",3/3/08
"6272, chemin Cote-des-Neiges","45.5012835284
? -73.633758215",Ville de Montreal,,Produits petroliers*,"R : Terminee en 2002
Q : Plage A-B",12/12/02
"6275, boulevard des Grandes-Prairies, lot 1333364","45.603736
? -73.607323",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2009
Q : Plage B-C",4/6/11
6466842 Canada Ltee,"45.524255
? -73.653867",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2009
Q : <= C",11/18/09
"6537-6547, avenue Chateaubriand - Cobel inc.","45.5359626682
? -73.6042663149",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,10/30/14
"6600, rue Saint-Urbain","45.5301805556
? -73.612125",Ville de Montreal,"Chlorures (Cl-), Metaux*, Sulfures (H2S)","Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,8/28/20
"6617, rue lemay","45.5777777778
? -73.5697222222",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2002
Q : <= B",4/11/03
